flour,pastry (25)
flour,citrus fruit (32)
flour,bottled water (27)
flour,tropical fruit (32)
flour,root vegetables (46)
flour,root vegetables,whole milk (29)
flour,soda (28)
flour,yogurt (48)
flour,yogurt,other vegetables (27)
flour,yogurt,whole milk (25)
flour,rolls/buns (37)
flour,other vegetables (62)
flour,other vegetables,whole milk (37)
flour,whole milk (83)
soft cheese (168)
soft cheese,butter (27)
soft cheese,domestic eggs (31)
soft cheese,fruit/vegetable juice (27)
soft cheese,whipped/sour cream (30)
soft cheese,pip fruit (29)
soft cheese,pastry (27)
soft cheese,citrus fruit (26)
soft cheese,shopping bags (28)
soft cheese,sausage (34)
soft cheese,tropical fruit (32)
soft cheese,root vegetables (33)
soft cheese,soda (27)
soft cheese,yogurt (59)
soft cheese,yogurt,other vegetables (28)
soft cheese,yogurt,whole milk (34)
soft cheese,rolls/buns (53)
soft cheese,other vegetables (70)
soft cheese,other vegetables,whole milk (34)
soft cheese,whole milk (74)
specialty bar (269)
specialty bar,waffles (28)
specialty bar,chocolate (29)
specialty bar,fruit/vegetable juice (26)
specialty bar,pastry (42)
specialty bar,citrus fruit (27)
specialty bar,shopping bags (34)
specialty bar,bottled water (27)
specialty bar,tropical fruit (32)
specialty bar,soda (71)
specialty bar,yogurt (44)
specialty bar,rolls/buns (55)
specialty bar,other vegetables (55)
specialty bar,whole milk (64)
misc. beverages (279)
misc. beverages,butter (25)
misc. beverages,domestic eggs (29)
misc. beverages,fruit/vegetable juice (39)
misc. beverages,shopping bags (42)
misc. beverages,bottled water (52)
misc. beverages,tropical fruit (45)
misc. beverages,root vegetables (30)
misc. beverages,soda (72)
misc. beverages,yogurt (44)
misc. beverages,rolls/buns (46)
misc. beverages,other vegetables (55)
misc. beverages,whole milk (69)
grapes (220)
grapes,berries (26)
grapes,beef (25)
grapes,fruit/vegetable juice (32)
grapes,whipped/sour cream (30)
grapes,pip fruit (37)
grapes,pastry (38)
grapes,citrus fruit (38)
grapes,sausage (31)
grapes,bottled water (43)
grapes,tropical fruit (60)
grapes,tropical fruit,other vegetables (36)
grapes,tropical fruit,whole milk (25)
grapes,root vegetables (44)
grapes,root vegetables,other vegetables (27)
grapes,soda (40)
grapes,yogurt (46)
grapes,yogurt,other vegetables (28)
grapes,rolls/buns (47)
grapes,other vegetables (89)
grapes,other vegetables,whole milk (38)
grapes,whole milk (72)
cat food (229)
cat food,chocolate (31)
cat food,coffee (27)
cat food,beef (34)
cat food,napkins (35)
cat food,margarine (29)
cat food,newspapers (27)
cat food,domestic eggs (26)
cat food,whipped/sour cream (28)
cat food,pastry (31)
cat food,citrus fruit (36)
cat food,shopping bags (45)
cat food,sausage (35)
cat food,bottled water (44)
cat food,tropical fruit (47)
cat food,tropical fruit,whole milk (26)
cat food,root vegetables (46)
cat food,root vegetables,other vegetables (28)
cat food,soda (45)
cat food,yogurt (61)
cat food,yogurt,other vegetables (27)
cat food,yogurt,whole milk (27)
cat food,rolls/buns (39)
cat food,other vegetables (64)
cat food,other vegetables,whole milk (30)
cat food,whole milk (87)
specialty chocolate (299)
specialty chocolate,chocolate (31)
specialty chocolate,fruit/vegetable juice (26)
specialty chocolate,whipped/sour cream (27)
specialty chocolate,pastry (37)
specialty chocolate,shopping bags (47)
specialty chocolate,bottled water (39)
specialty chocolate,tropical fruit (33)
specialty chocolate,root vegetables (33)
specialty chocolate,soda (62)
specialty chocolate,yogurt (47)
specialty chocolate,yogurt,whole milk (25)
specialty chocolate,rolls/buns (55)
specialty chocolate,other vegetables (60)
specialty chocolate,whole milk (79)
meat (254)
meat,pork (27)
meat,frankfurter (32)
meat,brown bread (38)
meat,butter (30)
meat,newspapers (30)
meat,domestic eggs (33)
meat,fruit/vegetable juice (30)
meat,whipped/sour cream (35)
meat,pip fruit (27)
meat,pastry (26)
meat,citrus fruit (34)
meat,shopping bags (33)
meat,sausage (52)
meat,bottled water (30)
meat,tropical fruit (33)
meat,root vegetables (50)
meat,root vegetables,other vegetables (27)
meat,root vegetables,whole milk (31)
meat,soda (54)
meat,yogurt (52)
meat,yogurt,other vegetables (28)
meat,rolls/buns (68)
meat,rolls/buns,other vegetables (31)
meat,rolls/buns,whole milk (32)
meat,other vegetables (98)
meat,other vegetables,whole milk (41)
meat,whole milk (98)
frozen meals (279)
frozen meals,long life bakery product (26)
frozen meals,white bread (25)
frozen meals,frozen vegetables (36)
frozen meals,frankfurter (29)
frozen meals,bottled beer (26)
frozen meals,brown bread (28)
frozen meals,butter (27)
frozen meals,newspapers (25)
frozen meals,domestic eggs (31)
frozen meals,fruit/vegetable juice (39)
frozen meals,whipped/sour cream (28)
frozen meals,pip fruit (45)
frozen meals,pastry (27)
frozen meals,citrus fruit (33)
frozen meals,shopping bags (46)
frozen meals,sausage (37)
frozen meals,bottled water (31)
frozen meals,tropical fruit (54)
frozen meals,tropical fruit,whole milk (35)
frozen meals,root vegetables (38)
frozen meals,root vegetables,other vegetables (25)
frozen meals,root vegetables,whole milk (26)
frozen meals,soda (61)
frozen meals,yogurt (61)
frozen meals,yogurt,whole milk (33)
frozen meals,rolls/buns (48)
frozen meals,other vegetables (74)
frozen meals,other vegetables,whole milk (36)
frozen meals,whole milk (97)
hard cheese (241)
hard cheese,ham (27)
hard cheese,napkins (33)
hard cheese,butter (39)
hard cheese,newspapers (25)
hard cheese,domestic eggs (38)
hard cheese,fruit/vegetable juice (41)
hard cheese,whipped/sour cream (44)
hard cheese,whipped/sour cream,other vegetables (27)
hard cheese,whipped/sour cream,whole milk (26)
hard cheese,pip fruit (30)
hard cheese,pastry (28)
hard cheese,citrus fruit (31)
hard cheese,shopping bags (30)
hard cheese,sausage (51)
hard cheese,sausage,other vegetables (29)
hard cheese,bottled water (35)
hard cheese,tropical fruit (40)
hard cheese,root vegetables (55)
hard cheese,root vegetables,other vegetables (34)
hard cheese,root vegetables,whole milk (32)
hard cheese,soda (40)
hard cheese,yogurt (63)
hard cheese,yogurt,other vegetables (28)
hard cheese,yogurt,whole milk (41)
hard cheese,rolls/buns (58)
hard cheese,rolls/buns,other vegetables (29)
hard cheese,rolls/buns,whole milk (25)
hard cheese,other vegetables (93)
hard cheese,other vegetables,whole milk (43)
hard cheese,whole milk (99)
butter milk (275)
butter milk,dessert (28)
butter milk,cream cheese (32)
butter milk,coffee (26)
butter milk,curd (32)
butter milk,frankfurter (32)
butter milk,brown bread (37)
butter milk,fruit/vegetable juice (46)
butter milk,whipped/sour cream (38)
butter milk,whipped/sour cream,whole milk (29)
butter milk,pip fruit (50)
butter milk,pip fruit,other vegetables (32)
butter milk,pip fruit,whole milk (26)
butter milk,pastry (33)
butter milk,citrus fruit (44)
butter milk,shopping bags (38)
butter milk,sausage (36)
butter milk,bottled water (37)
butter milk,tropical fruit (54)
butter milk,tropical fruit,whole milk (28)
butter milk,root vegetables (50)
butter milk,root vegetables,other vegetables (28)
butter milk,root vegetables,whole milk (31)
butter milk,soda (45)
butter milk,yogurt (84)
butter milk,yogurt,rolls/buns (27)
butter milk,yogurt,other vegetables (41)
butter milk,yogurt,whole milk (45)
butter milk,rolls/buns (75)
butter milk,rolls/buns,other vegetables (29)
butter milk,rolls/buns,whole milk (34)
butter milk,other vegetables (102)
butter milk,other vegetables,whole milk (46)
butter milk,whole milk (114)
candy (294)
candy,salty snack (26)
candy,waffles (29)
candy,long life bakery product (26)
candy,white bread (26)
candy,chocolate (49)
candy,coffee (27)
candy,margarine (29)
candy,butter (28)
candy,domestic eggs (26)
candy,fruit/vegetable juice (39)
candy,whipped/sour cream (35)
candy,pastry (36)
candy,citrus fruit (38)
candy,shopping bags (44)
candy,sausage (36)
candy,bottled water (36)
candy,tropical fruit (53)
candy,root vegetables (42)
candy,soda (85)
candy,soda,rolls/buns (30)
candy,soda,other vegetables (25)
candy,soda,whole milk (25)
candy,yogurt (54)
candy,yogurt,whole milk (26)
candy,rolls/buns (70)
candy,rolls/buns,other vegetables (26)
candy,rolls/buns,whole milk (26)
candy,other vegetables (68)
candy,other vegetables,whole milk (29)
candy,whole milk (81)
ham (256)
ham,sliced cheese (26)
ham,dessert (27)
ham,white bread (50)
ham,chocolate (27)
ham,napkins (25)
ham,frankfurter (25)
ham,brown bread (26)
ham,margarine (26)
ham,butter (31)
ham,domestic eggs (41)
ham,fruit/vegetable juice (38)
ham,whipped/sour cream (41)
ham,whipped/sour cream,whole milk (26)
ham,pip fruit (39)
ham,pip fruit,other vegetables (26)
ham,pastry (41)
ham,citrus fruit (28)
ham,shopping bags (38)
ham,sausage (49)
ham,bottled water (29)
ham,tropical fruit (53)
ham,tropical fruit,other vegetables (26)
ham,tropical fruit,whole milk (27)
ham,root vegetables (36)
ham,soda (49)
ham,yogurt (66)
ham,yogurt,other vegetables (30)
ham,yogurt,whole milk (39)
ham,rolls/buns (68)
ham,rolls/buns,whole milk (34)
ham,other vegetables (90)
ham,other vegetables,whole milk (47)
ham,whole milk (113)
sliced cheese (241)
sliced cheese,coffee (25)
sliced cheese,curd (28)
sliced cheese,napkins (30)
sliced cheese,pork (28)
sliced cheese,brown bread (28)
sliced cheese,margarine (30)
sliced cheese,butter (37)
sliced cheese,newspapers (31)
sliced cheese,domestic eggs (33)
sliced cheese,fruit/vegetable juice (41)
sliced cheese,whipped/sour cream (38)
sliced cheese,whipped/sour cream,whole milk (27)
sliced cheese,pip fruit (41)
sliced cheese,pastry (36)
sliced cheese,citrus fruit (34)
sliced cheese,shopping bags (43)
sliced cheese,sausage (69)
sliced cheese,sausage,rolls/buns (29)
sliced cheese,sausage,whole milk (31)
sliced cheese,bottled water (38)
sliced cheese,tropical fruit (52)
sliced cheese,tropical fruit,yogurt (27)
sliced cheese,tropical fruit,other vegetables (30)
sliced cheese,tropical fruit,whole milk (28)
sliced cheese,root vegetables (55)
sliced cheese,root vegetables,other vegetables (37)
sliced cheese,root vegetables,whole milk (31)
sliced cheese,soda (50)
sliced cheese,yogurt (79)
sliced cheese,yogurt,other vegetables (30)
sliced cheese,yogurt,whole milk (45)
sliced cheese,rolls/buns (75)
sliced cheese,rolls/buns,whole milk (30)
sliced cheese,other vegetables (89)
sliced cheese,other vegetables,whole milk (45)
sliced cheese,whole milk (106)
UHT-milk (329)
UHT-milk,dessert (30)
UHT-milk,cream cheese (28)
UHT-milk,coffee (42)
UHT-milk,frozen vegetables (27)
UHT-milk,napkins (25)
UHT-milk,pork (32)
UHT-milk,frankfurter (31)
UHT-milk,brown bread (40)
UHT-milk,margarine (39)
UHT-milk,newspapers (42)
UHT-milk,domestic eggs (40)
UHT-milk,fruit/vegetable juice (39)
UHT-milk,whipped/sour cream (30)
UHT-milk,pip fruit (37)
UHT-milk,pastry (36)
UHT-milk,citrus fruit (45)
UHT-milk,shopping bags (46)
UHT-milk,sausage (34)
UHT-milk,bottled water (72)
UHT-milk,bottled water,soda (28)
UHT-milk,tropical fruit (49)
UHT-milk,root vegetables (48)
UHT-milk,soda (75)
UHT-milk,yogurt (73)
UHT-milk,rolls/buns (63)
UHT-milk,other vegetables (80)
UHT-milk,whole milk (39)
oil (276)
oil,hygiene articles (26)
oil,chocolate (27)
oil,coffee (33)
oil,beef (31)
oil,curd (26)
oil,pork (31)
oil,frankfurter (25)
oil,bottled beer (34)
oil,margarine (36)
oil,butter (35)
oil,newspapers (31)
oil,domestic eggs (37)
oil,fruit/vegetable juice (37)
oil,whipped/sour cream (44)
oil,pip fruit (29)
oil,pastry (30)
oil,citrus fruit (49)
oil,citrus fruit,other vegetables (25)
oil,citrus fruit,whole milk (25)
oil,shopping bags (30)
oil,sausage (40)
oil,bottled water (41)
oil,tropical fruit (46)
oil,tropical fruit,other vegetables (25)
oil,tropical fruit,whole milk (25)
oil,root vegetables (69)
oil,root vegetables,other vegetables (38)
oil,root vegetables,other vegetables,whole milk (26)
oil,root vegetables,whole milk (44)
oil,soda (46)
oil,yogurt (52)
oil,yogurt,other vegetables (32)
oil,yogurt,whole milk (31)
oil,rolls/buns (50)
oil,rolls/buns,whole milk (30)
oil,other vegetables (98)
oil,other vegetables,whole milk (50)
oil,whole milk (111)
onions (305)
onions,chicken (28)
onions,coffee (25)
onions,frozen vegetables (31)
onions,beef (31)
onions,curd (25)
onions,napkins (31)
onions,pork (38)
onions,frankfurter (37)
onions,bottled beer (33)
onions,brown bread (32)
onions,butter (40)
onions,butter,whole milk (30)
onions,newspapers (31)
onions,domestic eggs (48)
onions,domestic eggs,other vegetables (25)
onions,domestic eggs,whole milk (27)
onions,fruit/vegetable juice (37)
onions,whipped/sour cream (50)
onions,whipped/sour cream,other vegetables (31)
onions,whipped/sour cream,whole milk (27)
onions,pip fruit (34)
onions,pastry (29)
onions,citrus fruit (55)
onions,citrus fruit,other vegetables (35)
onions,shopping bags (42)
onions,sausage (36)
onions,bottled water (58)
onions,bottled water,other vegetables (29)
onions,tropical fruit (56)
onions,tropical fruit,other vegetables (36)
onions,tropical fruit,whole milk (28)
onions,root vegetables (93)
onions,root vegetables,rolls/buns (25)
onions,root vegetables,other vegetables (56)
onions,root vegetables,other vegetables,whole milk (32)
onions,root vegetables,whole milk (47)
onions,soda (52)
onions,soda,other vegetables (25)
onions,yogurt (71)
onions,yogurt,other vegetables (38)
onions,yogurt,whole milk (38)
onions,rolls/buns (67)
onions,rolls/buns,other vegetables (33)
onions,rolls/buns,whole milk (31)
onions,other vegetables (140)
onions,other vegetables,whole milk (65)
onions,whole milk (119)
berries (327)
berries,chicken (31)
berries,coffee (25)
berries,frozen vegetables (25)
berries,beef (44)
berries,curd (29)
berries,napkins (28)
berries,pork (32)
berries,brown bread (31)
berries,margarine (26)
berries,butter (37)
berries,newspapers (27)
berries,domestic eggs (38)
berries,fruit/vegetable juice (36)
berries,whipped/sour cream (89)
berries,whipped/sour cream,yogurt (29)
berries,whipped/sour cream,whole milk (42)
berries,pip fruit (37)
berries,pastry (42)
berries,citrus fruit (53)
berries,shopping bags (49)
berries,sausage (49)
berries,bottled water (40)
berries,tropical fruit (66)
berries,tropical fruit,other vegetables (28)
berries,tropical fruit,whole milk (33)
berries,root vegetables (65)
berries,root vegetables,other vegetables (30)
berries,root vegetables,whole milk (36)
berries,soda (72)
berries,soda,yogurt (26)
berries,yogurt (104)
berries,yogurt,rolls/buns (26)
berries,yogurt,other vegetables (38)
berries,yogurt,whole milk (33)
berries,rolls/buns (65)
berries,rolls/buns,other vegetables (27)
berries,rolls/buns,whole milk (28)
berries,other vegetables (101)
berries,other vegetables,whole milk (49)
berries,whole milk (116)
hamburger meat (327)
hamburger meat,hygiene articles (25)
hamburger meat,dessert (25)
hamburger meat,chicken (37)
hamburger meat,white bread (28)
hamburger meat,coffee (29)
hamburger meat,frozen vegetables (30)
hamburger meat,beef (37)
hamburger meat,curd (31)
hamburger meat,curd,whole milk (25)
hamburger meat,napkins (26)
hamburger meat,pork (32)
hamburger meat,frankfurter (33)
hamburger meat,brown bread (32)
hamburger meat,margarine (30)
hamburger meat,butter (43)
hamburger meat,butter,whole milk (30)
hamburger meat,newspapers (27)
hamburger meat,domestic eggs (40)
hamburger meat,domestic eggs,whole milk (25)
hamburger meat,fruit/vegetable juice (35)
hamburger meat,whipped/sour cream (42)
hamburger meat,whipped/sour cream,whole milk (26)
hamburger meat,pip fruit (44)
hamburger meat,pip fruit,other vegetables (29)
hamburger meat,pip fruit,whole milk (25)
hamburger meat,pastry (45)
hamburger meat,pastry,whole milk (25)
hamburger meat,citrus fruit (39)
hamburger meat,shopping bags (39)
hamburger meat,sausage (51)
hamburger meat,sausage,whole milk (26)
hamburger meat,bottled water (29)
hamburger meat,tropical fruit (42)
hamburger meat,root vegetables (61)
hamburger meat,root vegetables,other vegetables (36)
hamburger meat,root vegetables,whole milk (39)
hamburger meat,soda (57)
hamburger meat,yogurt (64)
hamburger meat,yogurt,other vegetables (34)
hamburger meat,yogurt,whole milk (39)
hamburger meat,rolls/buns (85)
hamburger meat,rolls/buns,other vegetables (46)
hamburger meat,rolls/buns,whole milk (43)
hamburger meat,other vegetables (136)
hamburger meat,other vegetables,whole milk (62)
hamburger meat,whole milk (145)
hygiene articles (324)
hygiene articles,sugar (26)
hygiene articles,chocolate (27)
hygiene articles,coffee (32)
hygiene articles,frozen vegetables (30)
hygiene articles,beef (32)
hygiene articles,curd (39)
hygiene articles,napkins (60)
hygiene articles,napkins,whole milk (28)
hygiene articles,pork (34)
hygiene articles,frankfurter (31)
hygiene articles,bottled beer (28)
hygiene articles,brown bread (30)
hygiene articles,margarine (38)
hygiene articles,butter (43)
hygiene articles,butter,whole milk (30)
hygiene articles,newspapers (30)
hygiene articles,domestic eggs (47)
hygiene articles,domestic eggs,whole milk (27)
hygiene articles,fruit/vegetable juice (38)
hygiene articles,whipped/sour cream (42)
hygiene articles,pip fruit (47)
hygiene articles,pip fruit,whole milk (30)
hygiene articles,pastry (45)
hygiene articles,pastry,whole milk (25)
hygiene articles,citrus fruit (52)
hygiene articles,citrus fruit,whole milk (25)
hygiene articles,shopping bags (51)
hygiene articles,sausage (43)
hygiene articles,bottled water (56)
hygiene articles,bottled water,whole milk (30)
hygiene articles,tropical fruit (66)
hygiene articles,tropical fruit,yogurt (25)
hygiene articles,tropical fruit,other vegetables (26)
hygiene articles,tropical fruit,whole milk (40)
hygiene articles,root vegetables (53)
hygiene articles,root vegetables,other vegetables (25)
hygiene articles,root vegetables,whole milk (35)
hygiene articles,soda (69)
hygiene articles,yogurt (72)
hygiene articles,yogurt,other vegetables (28)
hygiene articles,yogurt,whole milk (39)
hygiene articles,rolls/buns (58)
hygiene articles,rolls/buns,whole milk (30)
hygiene articles,other vegetables (94)
hygiene articles,other vegetables,whole milk (51)
hygiene articles,whole milk (126)
salty snack (372)
salty snack,waffles (38)
salty snack,long life bakery product (33)
salty snack,canned beer (25)
salty snack,cream cheese (25)
salty snack,white bread (25)
salty snack,chocolate (35)
salty snack,coffee (30)
salty snack,frozen vegetables (29)
salty snack,beef (26)
salty snack,curd (30)
salty snack,napkins (40)
salty snack,pork (32)
salty snack,frankfurter (31)
salty snack,bottled beer (31)
salty snack,margarine (29)
salty snack,butter (29)
salty snack,newspapers (29)
salty snack,domestic eggs (35)
salty snack,fruit/vegetable juice (59)
salty snack,whipped/sour cream (51)
salty snack,whipped/sour cream,other vegetables (27)
salty snack,whipped/sour cream,whole milk (27)
salty snack,pip fruit (40)
salty snack,pastry (51)
salty snack,citrus fruit (36)
salty snack,shopping bags (59)
salty snack,sausage (52)
salty snack,bottled water (43)
salty snack,tropical fruit (55)
salty snack,tropical fruit,other vegetables (28)
salty snack,tropical fruit,whole milk (25)
salty snack,root vegetables (49)
salty snack,root vegetables,other vegetables (28)
salty snack,soda (92)
salty snack,soda,other vegetables (26)
salty snack,soda,whole milk (27)
salty snack,yogurt (61)
salty snack,yogurt,other vegetables (27)
